shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,LINK_ID,osmid,shstRefId
940001,44.949947,-93.107312,90019,390942,"18207914,81023373,81023374,81023376,39565592,39662493,39662494",f5d79ca4bc4863b9b2036089ee5c30ce
940001,44.950082,-93.107334,90020,390942,"18207914,81023373,81023374,81023376,39565592,39662493,39662494",f5d79ca4bc4863b9b2036089ee5c30ce
940001,44.950385,-93.107336,90021,390942,"18207914,81023373,81023374,81023376,39565592,39662493,39662494",f5d79ca4bc4863b9b2036089ee5c30ce
940001,44.950513,-93.107368,90022,390942,"18207914,81023373,81023374,81023376,39565592,39662493,39662494",f5d79ca4bc4863b9b2036089ee5c30ce
940001,44.950588,-93.107403,90023,390942,"18207914,81023373,81023374,81023376,39565592,39662493,39662494",f5d79ca4bc4863b9b2036089ee5c30ce
940001,44.950692,-93.107451,90024,390942,"18207914,81023373,81023374,81023376,39565592,39662493,39662494",f5d79ca4bc4863b9b2036089ee5c30ce
940001,44.950781,-93.10751,90025,390942,"18207914,81023373,81023374,81023376,39565592,39662493,39662494",f5d79ca4bc4863b9b2036089ee5c30ce
940001,44.950902,-93.107636,90026,390942,"18207914,81023373,81023374,81023376,39565592,39662493,39662494",f5d79ca4bc4863b9b2036089ee5c30ce
940001,44.951019,-93.107801,90027,390942,"18207914,81023373,81023374,81023376,39565592,39662493,39662494",f5d79ca4bc4863b9b2036089ee5c30ce
940001,44.951102,-93.107967,90028,390942,"18207914,81023373,81023374,81023376,39565592,39662493,39662494",f5d79ca4bc4863b9b2036089ee5c30ce
940001,44.951157,-93.108113,90029,390942,"18207914,81023373,81023374,81023376,39565592,39662493,39662494",f5d79ca4bc4863b9b2036089ee5c30ce
940001,44.951198,-93.108287,90030,390942,"18207914,81023373,81023374,81023376,39565592,39662493,39662494",f5d79ca4bc4863b9b2036089ee5c30ce
940001,44.951218,-93.108433,90031,390942,"18207914,81023373,81023374,81023376,39565592,39662493,39662494",f5d79ca4bc4863b9b2036089ee5c30ce
940001,44.95122,-93.10863,90032,390942,"18207914,81023373,81023374,81023376,39565592,39662493,39662494",f5d79ca4bc4863b9b2036089ee5c30ce
940001,44.951146,-93.109714,90033,390942,"18207914,81023373,81023374,81023376,39565592,39662493,39662494",f5d79ca4bc4863b9b2036089ee5c30ce
940001,44.951086,-93.110745,90034,390942,"18207914,81023373,81023374,81023376,39565592,39662493,39662494",f5d79ca4bc4863b9b2036089ee5c30ce
940001,44.951057,-93.11165,90035,390942,"18207914,81023373,81023374,81023376,39565592,39662493,39662494",f5d79ca4bc4863b9b2036089ee5c30ce
940001,44.951053,-93.112295,90036,390942,"18207914,81023373,81023374,81023376,39565592,39662493,39662494",f5d79ca4bc4863b9b2036089ee5c30ce
940001,44.951029,-93.113104,90037,390942,"18207914,81023373,81023374,81023376,39565592,39662493,39662494",f5d79ca4bc4863b9b2036089ee5c30ce
940001,44.951031,-93.113129,90038,390942,"18207914,81023373,81023374,81023376,39565592,39662493,39662494",f5d79ca4bc4863b9b2036089ee5c30ce
940001,44.951113,-93.114088,90039,401372,118479876,15818e812ef4ffdfa50e3be537bc6116
940001,44.95131,-93.115537,90040,401372,118479876,15818e812ef4ffdfa50e3be537bc6116
940001,44.951669,-93.118822,90041,401447,118479876,57606c1170caafe8d0a10290dfb69a5d
940001,44.951797,-93.120357,90042,401447,118479876,57606c1170caafe8d0a10290dfb69a5d
940001,44.951855,-93.121474,90043,401484,118479876,d699893601c5031a5ff984c87c5c65ae
940001,44.951807,-93.125888,90044,401484,118479876,d699893601c5031a5ff984c87c5c65ae
940001,44.951799,-93.13093,90045,401484,118479876,d699893601c5031a5ff984c87c5c65ae
940001,44.951797,-93.131836,90046,401484,118479876,d699893601c5031a5ff984c87c5c65ae
940001,44.951828000000006,-93.134423,90047,401484,118479876,d699893601c5031a5ff984c87c5c65ae
940001,44.951849,-93.139212,90048,390344,118479876,b98b18dd9e9938ebad462008286f12d1
940001,44.95183,-93.141248,90049,390344,118479876,b98b18dd9e9938ebad462008286f12d1
940001,44.951808,-93.145798,90050,390906,118479876,19f9aaca8a36631b1b6f6e1b5afddd21
940001,44.951852,-93.151089,90051,390592,118479876,d5625e158c409df1dcf95117b99bf39b
940001,44.951854,-93.151365,90052,390882,"76535448,118479876",0adf5f62383ff99cbdd58e9b42d36279
