route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,trip_destination,trip_short_name,trip_route_name,pub_dir_id,rm_block_id
54-111,JUN19-MVS-BUS-Weekday-01,14945380-JUN19-MVS-BUS-Weekday-01,Westbound 54  Ltd Stop / Mall  Amer / Via  Airport,1,1498,540001,1.0,,,,,
54-111,JUN19-MVS-BUS-Weekday-01,14945400-JUN19-MVS-BUS-Weekday-01,Eastbound 54M Ltd Stop/Mplwd Mall/Via Airport,0,1501,540003,1.0,,,,,
54-111,JUN19-MVS-BUS-Weekday-01,14945404-JUN19-MVS-BUS-Weekday-01,Westbound 54  Ltd Stop / Mall  Amer / Via  Airport,1,1490,540001,1.0,,,,,
54-111,JUN19-MVS-BUS-Weekday-01,14945432-JUN19-MVS-BUS-Weekday-01,Eastbound 54M Ltd Stop/Mplwd Mall/Via Airport,0,1492,540003,1.0,,,,,
860-111,JUN19-MVS-BUS-Weekday-01,14946111-JUN19-MVS-BUS-Weekday-01,Southbound 860  Express/St Paul/Northtown,1,2263,8600005,1.0,,,,,
350-111,JUN19-MVS-BUS-Weekday-01,14946199-JUN19-MVS-BUS-Weekday-01,Westbound 350 Ltd Stop/ Mcknight/ Dt St Paul,1,31010,3500001,1.0,,,,,
355-111,JUN19-MVS-BUS-Weekday-01,14946257-JUN19-MVS-BUS-Weekday-01,Westbound 355  Express / Minneapolis,1,1847,3550003,1.0,,,,,
94-111,JUN19-MVS-BUS-Weekday-01,14946470-JUN19-MVS-BUS-Weekday-01,Westbound 94 Express / Downtown / Minneapolis,1,1028,940001,1.0,,,,,
94-111,JUN19-MVS-BUS-Weekday-01,14946471-JUN19-MVS-BUS-Weekday-01,Westbound 94 Express / Downtown / Minneapolis,1,1670,940002,1.0,,,,,
94-111,JUN19-MVS-BUS-Weekday-01,14946480-JUN19-MVS-BUS-Weekday-01,Eastbound 94D Express / Dwtn St Paul / Union Depot,0,1665,940004,1.0,,,,,
94-111,JUN19-MVS-BUS-Weekday-01,14946521-JUN19-MVS-BUS-Weekday-01,Eastbound 94D Express / Dwtn St Paul / Union Depot,0,1664,940004,1.0,,,,,
30-111,JUN19-MVS-BUS-Weekday-01,14946555-JUN19-MVS-BUS-Weekday-01,Eastbound 30 Broadway/ Quarry Center/ Westgate Sta,0,31000,300005,1.0,,,,,
30-111,JUN19-MVS-BUS-Weekday-01,14946562-JUN19-MVS-BUS-Weekday-01,Eastbound 30 Broadway/ Quarry Center/ Westgate Sta,0,31001,300006,1.0,,,,,
30-111,JUN19-MVS-BUS-Weekday-01,14946586-JUN19-MVS-BUS-Weekday-01,Westbound 30B Broadway/ Quarry Center/Xerxes-GV Rd,1,31001,300007,1.0,,,,,
30-111,JUN19-MVS-BUS-Weekday-01,14946592-JUN19-MVS-BUS-Weekday-01,Westbound 30A Broadway/Quarry Center/Knox-GV Rd,1,31001,300008,1.0,,,,,
365-111,JUN19-MVS-BUS-Weekday-01,14947182-JUN19-MVS-BUS-Weekday-01,Northbound 365  Express / Minneapolis,0,1844,3650001,1.0,,,,,
87-111,JUN19-MVS-BUS-Weekday-01,14947298-JUN19-MVS-BUS-Weekday-01,Northbound 87 Rosedale/ Cleveland Ave/ U of M,0,31614,870001,1.0,,,,,
87-111,JUN19-MVS-BUS-Weekday-01,14947302-JUN19-MVS-BUS-Weekday-01,Northbound 87 Rosedale/ Cleveland Ave/ U of M,0,31614,870001,1.0,,,,,
65-111,JUN19-MVS-BUS-Weekday-01,14947400-JUN19-MVS-BUS-Weekday-01,NORTHbound 65  Dale St / Rosedale,0,1589,650002,1.0,,,,,
65-111,JUN19-MVS-BUS-Weekday-01,14947401-JUN19-MVS-BUS-Weekday-01,SOUTHbound 65 Dale and Grand,1,1590,650003,1.0,,,,,
65-111,JUN19-MVS-BUS-Weekday-01,14947403-JUN19-MVS-BUS-Weekday-01,SOUTHbound 65 Dale and Grand,1,1590,650003,1.0,,,,,
65-111,JUN19-MVS-BUS-Weekday-01,14947405-JUN19-MVS-BUS-Weekday-01,NORTHbound 65  Dale St / Rosedale,0,1591,650002,1.0,,,,,
265-111,JUN19-MVS-BUS-Weekday-01,14947504-JUN19-MVS-BUS-Weekday-01,Southbound 265  Express / St Paul,1,1029,2650002,1.0,,,,,
262-111,JUN19-MVS-BUS-Weekday-01,14947598-JUN19-MVS-BUS-Weekday-01,Southbound 262 Ltd Stop / DT ST Paul / Union Depot,1,1637,2620002,1.0,,,,,
375-111,JUN19-MVS-BUS-Weekday-01,14947734-JUN19-MVS-BUS-Weekday-01,Westbound 375  Express / Minneapolis,1,1793,3750001,1.0,,,,,
275-111,JUN19-MVS-BUS-Weekday-01,14947755-JUN19-MVS-BUS-Weekday-01,Southbound 275 Express / St Paul,1,1814,2750004,1.0,,,,,
75-111,JUN19-MVS-BUS-Weekday-01,14947864-JUN19-MVS-BUS-Weekday-01,Northbound 75  Downtown,0,1657,750001,1.0,,,,,
75-111,JUN19-MVS-BUS-Weekday-01,14947867-JUN19-MVS-BUS-Weekday-01,Southbound 75F  Stryker Av/Salem Green/Lake Cove,1,1657,750004,1.0,,,,,
75-111,JUN19-MVS-BUS-Weekday-01,14947879-JUN19-MVS-BUS-Weekday-01,Northbound 75  Downtown,0,1656,750001,1.0,,,,,
75-111,JUN19-MVS-BUS-Weekday-01,14947880-JUN19-MVS-BUS-Weekday-01,Southbound 75E Stryker Av / Salem Green,1,1656,750008,1.0,,,,,
62-111,JUN19-MVS-BUS-Weekday-01,14947999-JUN19-MVS-BUS-Weekday-01,Northbound 62A Rice /To Larpenteur / Albemarle,0,1550,620044,1.0,,,,,
62-111,JUN19-MVS-BUS-Weekday-01,14948000-JUN19-MVS-BUS-Weekday-01,Northbound 62A Rice /To Larpenteur / Albemarle,0,1552,620044,1.0,,,,,
62-111,JUN19-MVS-BUS-Weekday-01,14948027-JUN19-MVS-BUS-Weekday-01,Southbound 62 Downtown,1,1551,620042,1.0,,,,,
62-111,JUN19-MVS-BUS-Weekday-01,14948032-JUN19-MVS-BUS-Weekday-01,Southbound 62 Downtown,1,1550,620042,1.0,,,,,
272-111,JUN19-MVS-BUS-Weekday-01,14948170-JUN19-MVS-BUS-Weekday-01,Westbound 272  Express / U of M,1,1812,2720002,1.0,,,,,
53-111,JUN19-MVS-BUS-Weekday-01,14948211-JUN19-MVS-BUS-Weekday-01,Eastbound 53 Ltd Stop/Dtwn St.Paul/Lafayette,0,1483,530001,1.0,,,,,
53-111,JUN19-MVS-BUS-Weekday-01,14948218-JUN19-MVS-BUS-Weekday-01,Westbound 53  Ltd Stop / Uptown / Lake St,1,1400,530002,1.0,,,,,
219-111,JUN19-MVS-BUS-Weekday-01,14948381-JUN19-MVS-BUS-Weekday-01,Southbound 219 Sunray,1,31450,2190001,1.0,,,,,
219-111,JUN19-MVS-BUS-Weekday-01,14948382-JUN19-MVS-BUS-Weekday-01,Northbound 219 Maplewood Mall,0,31450,2190002,1.0,,,,,
219-111,JUN19-MVS-BUS-Weekday-01,14948384-JUN19-MVS-BUS-Weekday-01,Northbound 219 Maplewood Mall,0,31450,2190002,1.0,,,,,
219-111,JUN19-MVS-BUS-Weekday-01,14948385-JUN19-MVS-BUS-Weekday-01,Southbound 219 Sunray,1,31450,2190001,1.0,,,,,
80-111,JUN19-MVS-BUS-Weekday-01,14948486-JUN19-MVS-BUS-Weekday-01,Northbound 80  White Bear / Maplwd Mall,0,31601,800001,1.0,,,,,
80-111,JUN19-MVS-BUS-Weekday-01,14948487-JUN19-MVS-BUS-Weekday-01,Southbound 80  White Bear/ Sunray,1,31601,800002,1.0,,,,,
80-111,JUN19-MVS-BUS-Weekday-01,14948490-JUN19-MVS-BUS-Weekday-01,Southbound 80  White Bear/ Sunray,1,31600,800002,1.0,,,,,
80-111,JUN19-MVS-BUS-Weekday-01,14948491-JUN19-MVS-BUS-Weekday-01,Northbound 80  White Bear / Maplwd Mall,0,31600,800001,1.0,,,,,
364-111,JUN19-MVS-BUS-Weekday-01,14978409-JUN19-MVS-BUS-Weekday-01,Northbound 364 St Paul Park/ Newport/ St Paul,0,31281,3640001,1.0,,,,,
84-111,JUN19-MVS-BUS-Weekday-01,14978754-JUN19-MVS-BUS-Weekday-01,Northbound 84 Snelling/Como Pascal/Via Midway Pkwy,0,31522,840005,1.0,,,,,
84-111,JUN19-MVS-BUS-Weekday-01,14978758-JUN19-MVS-BUS-Weekday-01,Northbound 84 Snelling/Como Pascal/Via Midway Pkwy,0,31522,840005,1.0,,,,,
84-111,JUN19-MVS-BUS-Weekday-01,14978781-JUN19-MVS-BUS-Weekday-01,Southbound 84 Snelling/To W 7ST/Davern via Montreal,1,31520,840001,1.0,,,,,
84-111,JUN19-MVS-BUS-Weekday-01,14978787-JUN19-MVS-BUS-Weekday-01,Southbound 84 Snelling/To W 7ST/Davern via Montreal,1,31520,840001,1.0,,,,,
351-111,JUN19-MVS-BUS-Weekday-01,14981028-JUN19-MVS-BUS-Weekday-01,Westbound 351 Express / St Paul,1,1771,3510001,1.0,,,,,
351-111,JUN19-MVS-BUS-Weekday-01,14981029-JUN19-MVS-BUS-Weekday-01,Eastbound 351H Express/Woodbury/Hudson Rd,0,1552,3510003,1.0,,,,,
361-111,JUN19-MVS-BUS-Weekday-01,14986383-JUN19-MVS-BUS-Weekday-01,Northbound 361  Express/ St Paul,0,1845,3610002,1.0,,,,,
361-111,JUN19-MVS-BUS-Weekday-01,14986385-JUN19-MVS-BUS-Weekday-01,Southbound 361  Express / Cottage  Grv P&R,1,1854,3610003,1.0,,,,,
61-111,JUN19-MVS-BUS-Weekday-01,14988211-JUN19-MVS-BUS-Weekday-01,Eastbound 61  Henn-Larp/Dwtn St Paul/Via Arcade,0,1533,610001,1.0,,,,,
61-111,JUN19-MVS-BUS-Weekday-01,14988216-JUN19-MVS-BUS-Weekday-01,Eastbound 61  Henn-Larp/Dwtn St Paul/Via Arcade,0,1533,610001,1.0,,,,,
61-111,JUN19-MVS-BUS-Weekday-01,14988241-JUN19-MVS-BUS-Weekday-01,Westbound 61  Henn-Larp / Dwtn Mpls / Via  Arcade,1,1537,610003,1.0,,,,,
61-111,JUN19-MVS-BUS-Weekday-01,14988249-JUN19-MVS-BUS-Weekday-01,Westbound 61  Henn-Larp / Dwtn Mpls / Via  Arcade,1,1539,610003,1.0,,,,,
121-111,JUN19-MVS-UM-Weekday-03,14968426-JUN19-MVS-UM-Weekday-03,Eastbound 121  Campus Connector,0,31904,1210001,1.0,,,,,
121-111,JUN19-MVS-UM-Weekday-03,14968442-JUN19-MVS-UM-Weekday-03,Westbound 121  Campus Connector,1,31903,1210002,1.0,,,,,
121-111,JUN19-MVS-UM-Weekday-03,14968447-JUN19-MVS-UM-Weekday-03,Westbound 121  Campus Connector,1,31903,1210002,1.0,,,,,
121-111,JUN19-MVS-UM-Weekday-03,14968485-JUN19-MVS-UM-Weekday-03,Eastbound 121  Campus Connector,0,31902,1210001,1.0,,,,,
484-71,20190216-Weekday-04,121-RL-484.0N-0632-20190216-Weekday-04,484 ST PAUL,1,121,4840095,,ST PAUL,484.0,484.0,Northbound,121-RL
480-71,20190216-Weekday-04,031-CT-480.1N-0601-20190216-Weekday-04,480 ST PAUL,1,31,4800212,,ST PAUL,480.0,480.0,Northbound,031-CT
489-71,20190216-Weekday-04,048-RD-489.1S-0639-20190216-Weekday-04,489 ECOLAB/OPPERMAN,0,48,4890070,,ECOLAB/OPPERMAN,489.0,489.0,Southbound,048-RD
436-71,20190216-Weekday-04,053-RL-436.0S-0748-20190216-Weekday-04,436 DODD & OPPERMAN,0,53,4360083,,DODD & OPPERMAN,436.0,436.0,Southbound,053-RL
