stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,wheelchair_boarding,N,OSMID
1000,,50th St W & Upton Ave S,Near side E,44.912365,-93.315179,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=1000,0,1,driveNode12904,33418852
10000,,Carmen Ave & Claude Way E,Across from S,44.857531,-93.04100799999999,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10000,0,1,driveNode60550,186763642
10001,,Carmen Ave & 65th St E,Far side S,44.855001,-93.042491,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10001,0,1,driveNode64050,186796258
10002,,Carmen Ave & Village Square Center,Near side S,44.853643,-93.042243,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10002,0,1,driveNode64050,186796258
10003,,Carmen Ave & Lake Bridge Apts,Across from E,44.853398999999996,-93.040785,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10003,0,2,driveNode66835,186829752
10004,,67th St E & Catherine Ave,Across from E,44.851718,-93.03684100000001,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10004,0,1,driveNode63595,186791599
10005,,67th St E & Clayton Ave,Near side E,44.851696999999994,-93.034839,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10005,0,1,driveNode63596,186791600
10006,,Clayton Ave & 68th St E,Near side S,44.851302000000004,-93.034785,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10006,0,1,driveNode60912,186767407
10007,,Clayton Ave & 69th St E,Near side S,44.849902,-93.034773,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10007,0,1,driveNode60972,186767817
10008,,Clayton Ave & 70th St E,Near side S,44.848212,-93.034733,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10008,0,1,driveNode65687,186814741
10013,,70th St E & Cloman Ave E,Across from E,44.847966,-93.032265,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10013,0,1,driveNode62174,186777960
10014,,70th St E & Cooper Ave E,Near side E,44.847947999999995,-93.028704,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10014,0,1,driveNode62326,186779345
10017,,70th St E & Dawn Ave,Near side E,44.847957,-93.024624,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10017,0,1,driveNode65690,186814775
1002,,50th St W & Sheridan Ave S,Near side E,44.912341,-93.31264200000001,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=1002,0,1,driveNode23648,34179899
10024,,75th St E & Craig Ave E,Near side W,44.840835999999996,-93.02713100000001,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10024,0,1,driveNode59872,186757732
10026,,75th St E & Cloman Way,Near side W,44.840813,-93.032276,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10026,0,1,driveNode59871,186757731
10028,,75th St E & Clayton Ave,Near side W,44.840826,-93.034482,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10028,0,1,driveNode59869,186757728
10029,,Clayton Ave & 76th St E,Near side S,44.839953,-93.03469399999999,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10029,0,1,driveNode64068,186796401
10030,,Clayton Ave & 77th St E,Across from S,44.838015999999996,-93.034635,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10030,0,1,driveNode67684,186843161
10031,,Clayton Ave & 78th St E,Near side S,44.837264000000005,-93.034657,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10031,0,1,driveNode67718,186843925
10032,,78th St E & Charles Way,Across from W,44.837231,-93.03641999999999,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10032,0,1,driveNode67305,186836921
10034,,78th St E & Rolling Meadows Apts,Near side W,44.837216999999995,-93.037812,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10034,0,1,driveNode159351,2931088782
10035,,78th St E & Chandler / Cahill,Mid block W,44.836535,-93.04022900000001,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10035,0,1,driveNode63667,186792318
10036,,78th St E & Cahill Ave,Near side W,44.836378,-93.04217299999999,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10036,0,1,driveNode63667,186792318
10037,,Fillmore Ave E & Robert St,Far side E,44.941361,-93.084769,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10037,0,1,driveNode85728,187891416
10039,,Fillmore Ave E & State St,Near side E,44.943261,-93.080287,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10039,0,1,driveNode82963,187868185
1004,,50th St W & Queen Ave S,Near side E,44.912321,-93.310097,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=1004,0,1,driveNode31272,34569603
10040,,Fillmore Ave E & Lafayette Rd W,Near side E,44.943613,-93.07838199999999,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10040,0,1,driveNode85722,187891352
10041,,Fillmore Ave E & Lafayette Rd E,Mid block E,44.943831,-93.075466,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10041,0,1,driveNode84502,187880229
10042,,Fillmore Ave E & Ridder Circle,Near side S,44.943484000000005,-93.073947,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10042,0,1,driveNode141224,685094533
