fare_id,price,currency_type,payment_method,transfers,transfer_duration,agency_raw_name,agency_id
123,6.15,USD,1.0,,,BART_2015_8_3,
124,6.2,USD,1.0,,,BART_2015_8_3,
125,6.25,USD,1.0,,,BART_2015_8_3,
126,6.3,USD,1.0,,,BART_2015_8_3,
127,6.35,USD,1.0,,,BART_2015_8_3,
128,6.4,USD,1.0,,,BART_2015_8_3,
129,6.45,USD,1.0,,,BART_2015_8_3,
130,6.5,USD,1.0,,,BART_2015_8_3,
131,6.55,USD,1.0,,,BART_2015_8_3,
132,6.6,USD,1.0,,,BART_2015_8_3,
133,6.65,USD,1.0,,,BART_2015_8_3,
134,6.7,USD,1.0,,,BART_2015_8_3,
135,6.75,USD,1.0,,,BART_2015_8_3,
136,6.8,USD,1.0,,,BART_2015_8_3,
139,6.95,USD,1.0,,,BART_2015_8_3,
140,7.0,USD,1.0,,,BART_2015_8_3,
142,7.1,USD,1.0,,,BART_2015_8_3,
144,7.2,USD,1.0,,,BART_2015_8_3,
148,7.4,USD,1.0,,,BART_2015_8_3,
150,7.5,USD,1.0,,,BART_2015_8_3,
154,7.7,USD,1.0,,,BART_2015_8_3,
157,7.85,USD,1.0,,,BART_2015_8_3,
158,7.9,USD,1.0,,,BART_2015_8_3,
162,8.1,USD,1.0,,,BART_2015_8_3,
163,8.15,USD,1.0,,,BART_2015_8_3,
164,8.2,USD,1.0,,,BART_2015_8_3,
165,8.25,USD,1.0,,,BART_2015_8_3,
167,8.35,USD,1.0,,,BART_2015_8_3,
169,8.45,USD,1.0,,,BART_2015_8_3,
170,8.5,USD,1.0,,,BART_2015_8_3,
172,8.6,USD,1.0,,,BART_2015_8_3,
173,8.65,USD,1.0,,,BART_2015_8_3,
177,8.85,USD,1.0,,,BART_2015_8_3,
178,8.9,USD,1.0,,,BART_2015_8_3,
179,8.95,USD,1.0,,,BART_2015_8_3,
180,9.0,USD,1.0,,,BART_2015_8_3,
181,9.05,USD,1.0,,,BART_2015_8_3,
182,9.1,USD,1.0,,,BART_2015_8_3,
183,9.15,USD,1.0,,,BART_2015_8_3,
184,9.2,USD,1.0,,,BART_2015_8_3,
185,9.25,USD,1.0,,,BART_2015_8_3,
186,9.3,USD,1.0,,,BART_2015_8_3,
187,9.35,USD,1.0,,,BART_2015_8_3,
188,9.4,USD,1.0,,,BART_2015_8_3,
189,9.45,USD,1.0,,,BART_2015_8_3,
190,9.5,USD,1.0,,,BART_2015_8_3,
193,9.65,USD,1.0,,,BART_2015_8_3,
194,9.7,USD,1.0,,,BART_2015_8_3,
196,9.8,USD,1.0,,,BART_2015_8_3,
197,9.85,USD,1.0,,,BART_2015_8_3,
198,9.9,USD,1.0,,,BART_2015_8_3,
201,10.05,USD,1.0,,,BART_2015_8_3,
203,10.15,USD,1.0,,,BART_2015_8_3,
204,10.2,USD,1.0,,,BART_2015_8_3,
205,10.25,USD,1.0,,,BART_2015_8_3,
207,10.35,USD,1.0,,,BART_2015_8_3,
208,10.4,USD,1.0,,,BART_2015_8_3,
209,10.45,USD,1.0,,,BART_2015_8_3,
210,10.5,USD,1.0,,,BART_2015_8_3,
211,10.55,USD,1.0,,,BART_2015_8_3,
214,10.7,USD,1.0,,,BART_2015_8_3,
219,10.95,USD,1.0,,,BART_2015_8_3,
222,11.1,USD,1.0,,,BART_2015_8_3,
223,11.15,USD,1.0,,,BART_2015_8_3,
225,11.25,USD,1.0,,,BART_2015_8_3,
233,11.65,USD,1.0,,,BART_2015_8_3,
308,15.4,USD,1.0,,,BART_2015_8_3,
245200,9.75,USD,1.0,0.0,0.0,Blue&Gold_gtfs_10_4_2017,
245203,12.5,USD,1.0,0.0,0.0,Blue&Gold_gtfs_10_4_2017,
245206,12.5,USD,1.0,0.0,0.0,Blue&Gold_gtfs_10_4_2017,
OW_1_20141005,3.25,USD,1.0,0.0,0.0,Caltrain_2015_5_13,
OW_2_20141005,5.25,USD,1.0,0.0,0.0,Caltrain_2015_5_13,
OW_3_20141005,7.25,USD,1.0,0.0,0.0,Caltrain_2015_5_13,
OW_4_20141005,9.25,USD,1.0,0.0,0.0,Caltrain_2015_5_13,
OW_5_20141005,11.25,USD,1.0,0.0,0.0,Caltrain_2015_5_13,
OW_6_20141005,13.25,USD,1.0,0.0,0.0,Caltrain_2015_5_13,
Free,0.0,USD,1.0,0.0,0.0,Caltrain_2015_5_13,
200927,32.0,USD,1.0,,,Capitol_2017_3_20,
200928,32.0,USD,1.0,,,Capitol_2017_3_20,
200929,35.0,USD,1.0,,,Capitol_2017_3_20,
200930,39.0,USD,1.0,,,Capitol_2017_3_20,
200931,39.0,USD,1.0,,,Capitol_2017_3_20,
200932,42.0,USD,1.0,,,Capitol_2017_3_20,
200933,43.0,USD,1.0,,,Capitol_2017_3_20,
200934,11.0,USD,1.0,,,Capitol_2017_3_20,
200935,14.0,USD,1.0,,,Capitol_2017_3_20,
200936,20.0,USD,1.0,,,Capitol_2017_3_20,
200937,27.0,USD,1.0,,,Capitol_2017_3_20,
200938,31.0,USD,1.0,,,Capitol_2017_3_20,
200939,31.0,USD,1.0,,,Capitol_2017_3_20,
200940,32.0,USD,1.0,,,Capitol_2017_3_20,
200941,36.0,USD,1.0,,,Capitol_2017_3_20,
200942,32.0,USD,1.0,,,Capitol_2017_3_20,
200943,32.0,USD,1.0,,,Capitol_2017_3_20,
200944,35.0,USD,1.0,,,Capitol_2017_3_20,
200945,39.0,USD,1.0,,,Capitol_2017_3_20,
200946,39.0,USD,1.0,,,Capitol_2017_3_20,
200947,42.0,USD,1.0,,,Capitol_2017_3_20,
200948,43.0,USD,1.0,,,Capitol_2017_3_20,
200949,9.0,USD,1.0,,,Capitol_2017_3_20,
200950,16.0,USD,1.0,,,Capitol_2017_3_20,
200951,19.0,USD,1.0,,,Capitol_2017_3_20,
200952,27.0,USD,1.0,,,Capitol_2017_3_20,
200953,29.0,USD,1.0,,,Capitol_2017_3_20,
200954,29.0,USD,1.0,,,Capitol_2017_3_20,
200955,33.0,USD,1.0,,,Capitol_2017_3_20,
200956,29.0,USD,1.0,,,Capitol_2017_3_20,
200957,29.0,USD,1.0,,,Capitol_2017_3_20,
200958,31.0,USD,1.0,,,Capitol_2017_3_20,
200959,35.0,USD,1.0,,,Capitol_2017_3_20,
200960,35.0,USD,1.0,,,Capitol_2017_3_20,
200961,37.0,USD,1.0,,,Capitol_2017_3_20,
200962,40.0,USD,1.0,,,Capitol_2017_3_20,
200963,9.0,USD,1.0,,,Capitol_2017_3_20,
200964,16.0,USD,1.0,,,Capitol_2017_3_20,
200965,19.0,USD,1.0,,,Capitol_2017_3_20,
200966,27.0,USD,1.0,,,Capitol_2017_3_20,
200967,29.0,USD,1.0,,,Capitol_2017_3_20,
200968,29.0,USD,1.0,,,Capitol_2017_3_20,
200969,33.0,USD,1.0,,,Capitol_2017_3_20,
200970,29.0,USD,1.0,,,Capitol_2017_3_20,
200971,29.0,USD,1.0,,,Capitol_2017_3_20,
200972,31.0,USD,1.0,,,Capitol_2017_3_20,
200973,35.0,USD,1.0,,,Capitol_2017_3_20,
200974,35.0,USD,1.0,,,Capitol_2017_3_20,
200975,37.0,USD,1.0,,,Capitol_2017_3_20,
200976,40.0,USD,1.0,,,Capitol_2017_3_20,
200977,14.0,USD,1.0,,,Capitol_2017_3_20,
200978,16.0,USD,1.0,,,Capitol_2017_3_20,
200979,23.0,USD,1.0,,,Capitol_2017_3_20,
200980,24.0,USD,1.0,,,Capitol_2017_3_20,
200981,27.0,USD,1.0,,,Capitol_2017_3_20,
200982,31.0,USD,1.0,,,Capitol_2017_3_20,
200983,27.0,USD,1.0,,,Capitol_2017_3_20,
200984,27.0,USD,1.0,,,Capitol_2017_3_20,
200985,29.0,USD,1.0,,,Capitol_2017_3_20,
200986,31.0,USD,1.0,,,Capitol_2017_3_20,
200987,35.0,USD,1.0,,,Capitol_2017_3_20,
200988,35.0,USD,1.0,,,Capitol_2017_3_20,
200989,35.0,USD,1.0,,,Capitol_2017_3_20,
200990,14.0,USD,1.0,,,Capitol_2017_3_20,
200991,16.0,USD,1.0,,,Capitol_2017_3_20,
200992,23.0,USD,1.0,,,Capitol_2017_3_20,
200993,24.0,USD,1.0,,,Capitol_2017_3_20,
200994,27.0,USD,1.0,,,Capitol_2017_3_20,
200995,31.0,USD,1.0,,,Capitol_2017_3_20,
200996,27.0,USD,1.0,,,Capitol_2017_3_20,
200997,27.0,USD,1.0,,,Capitol_2017_3_20,
200998,29.0,USD,1.0,,,Capitol_2017_3_20,
200999,31.0,USD,1.0,,,Capitol_2017_3_20,
201000,35.0,USD,1.0,,,Capitol_2017_3_20,
201001,35.0,USD,1.0,,,Capitol_2017_3_20,
201002,35.0,USD,1.0,,,Capitol_2017_3_20,
201003,12.0,USD,1.0,,,Capitol_2017_3_20,
201004,16.0,USD,1.0,,,Capitol_2017_3_20,
201005,18.0,USD,1.0,,,Capitol_2017_3_20,
201006,18.0,USD,1.0,,,Capitol_2017_3_20,
201007,22.0,USD,1.0,,,Capitol_2017_3_20,
201008,19.0,USD,1.0,,,Capitol_2017_3_20,
201009,19.0,USD,1.0,,,Capitol_2017_3_20,
201010,24.0,USD,1.0,,,Capitol_2017_3_20,
201011,26.0,USD,1.0,,,Capitol_2017_3_20,
201012,29.0,USD,1.0,,,Capitol_2017_3_20,
201013,31.0,USD,1.0,,,Capitol_2017_3_20,
201014,31.0,USD,1.0,,,Capitol_2017_3_20,
201015,12.0,USD,1.0,,,Capitol_2017_3_20,
201016,16.0,USD,1.0,,,Capitol_2017_3_20,
201017,18.0,USD,1.0,,,Capitol_2017_3_20,
201018,18.0,USD,1.0,,,Capitol_2017_3_20,
201019,22.0,USD,1.0,,,Capitol_2017_3_20,
201020,19.0,USD,1.0,,,Capitol_2017_3_20,
201021,19.0,USD,1.0,,,Capitol_2017_3_20,
201022,24.0,USD,1.0,,,Capitol_2017_3_20,
201023,26.0,USD,1.0,,,Capitol_2017_3_20,
201024,29.0,USD,1.0,,,Capitol_2017_3_20,
201025,31.0,USD,1.0,,,Capitol_2017_3_20,
201026,31.0,USD,1.0,,,Capitol_2017_3_20,
201027,12.0,USD,1.0,,,Capitol_2017_3_20,
201028,13.0,USD,1.0,,,Capitol_2017_3_20,
201029,13.0,USD,1.0,,,Capitol_2017_3_20,
201030,17.0,USD,1.0,,,Capitol_2017_3_20,
201031,14.0,USD,1.0,,,Capitol_2017_3_20,
201032,16.0,USD,1.0,,,Capitol_2017_3_20,
201033,18.0,USD,1.0,,,Capitol_2017_3_20,
201034,20.0,USD,1.0,,,Capitol_2017_3_20,
201035,24.0,USD,1.0,,,Capitol_2017_3_20,
201036,25.0,USD,1.0,,,Capitol_2017_3_20,
201037,27.0,USD,1.0,,,Capitol_2017_3_20,
201038,12.0,USD,1.0,,,Capitol_2017_3_20,
201039,13.0,USD,1.0,,,Capitol_2017_3_20,
201040,13.0,USD,1.0,,,Capitol_2017_3_20,
201041,17.0,USD,1.0,,,Capitol_2017_3_20,
201042,14.0,USD,1.0,,,Capitol_2017_3_20,
201043,16.0,USD,1.0,,,Capitol_2017_3_20,
201044,18.0,USD,1.0,,,Capitol_2017_3_20,
201045,20.0,USD,1.0,,,Capitol_2017_3_20,
201046,24.0,USD,1.0,,,Capitol_2017_3_20,
201047,25.0,USD,1.0,,,Capitol_2017_3_20,
201048,27.0,USD,1.0,,,Capitol_2017_3_20,
201049,9.0,USD,1.0,,,Capitol_2017_3_20,
201050,9.0,USD,1.0,,,Capitol_2017_3_20,
201051,13.0,USD,1.0,,,Capitol_2017_3_20,
201052,10.0,USD,1.0,,,Capitol_2017_3_20,
201053,12.0,USD,1.0,,,Capitol_2017_3_20,
201054,13.0,USD,1.0,,,Capitol_2017_3_20,
201055,16.0,USD,1.0,,,Capitol_2017_3_20,
201056,19.0,USD,1.0,,,Capitol_2017_3_20,
201057,20.0,USD,1.0,,,Capitol_2017_3_20,
201058,20.0,USD,1.0,,,Capitol_2017_3_20,
201059,9.0,USD,1.0,,,Capitol_2017_3_20,
201060,9.0,USD,1.0,,,Capitol_2017_3_20,
201061,13.0,USD,1.0,,,Capitol_2017_3_20,
201062,10.0,USD,1.0,,,Capitol_2017_3_20,
201063,12.0,USD,1.0,,,Capitol_2017_3_20,
201064,13.0,USD,1.0,,,Capitol_2017_3_20,
201065,16.0,USD,1.0,,,Capitol_2017_3_20,
201066,19.0,USD,1.0,,,Capitol_2017_3_20,
201067,20.0,USD,1.0,,,Capitol_2017_3_20,
201068,20.0,USD,1.0,,,Capitol_2017_3_20,
201069,7.5,USD,1.0,,,Capitol_2017_3_20,
201070,11.5,USD,1.0,,,Capitol_2017_3_20,
201071,9.0,USD,1.0,,,Capitol_2017_3_20,
201072,10.0,USD,1.0,,,Capitol_2017_3_20,
201073,12.0,USD,1.0,,,Capitol_2017_3_20,
201074,15.0,USD,1.0,,,Capitol_2017_3_20,
201075,18.0,USD,1.0,,,Capitol_2017_3_20,
201076,19.0,USD,1.0,,,Capitol_2017_3_20,
201077,19.0,USD,1.0,,,Capitol_2017_3_20,
201078,7.5,USD,1.0,,,Capitol_2017_3_20,
201079,11.5,USD,1.0,,,Capitol_2017_3_20,
201080,9.0,USD,1.0,,,Capitol_2017_3_20,
201081,10.0,USD,1.0,,,Capitol_2017_3_20,
201082,12.0,USD,1.0,,,Capitol_2017_3_20,
201083,15.0,USD,1.0,,,Capitol_2017_3_20,
201084,18.0,USD,1.0,,,Capitol_2017_3_20,
201085,19.0,USD,1.0,,,Capitol_2017_3_20,
201086,19.0,USD,1.0,,,Capitol_2017_3_20,
201087,7.0,USD,1.0,,,Capitol_2017_3_20,
201088,9.0,USD,1.0,,,Capitol_2017_3_20,
201089,12.0,USD,1.0,,,Capitol_2017_3_20,
201090,14.0,USD,1.0,,,Capitol_2017_3_20,
201091,18.0,USD,1.0,,,Capitol_2017_3_20,
201092,19.0,USD,1.0,,,Capitol_2017_3_20,
201093,19.0,USD,1.0,,,Capitol_2017_3_20,
201094,7.0,USD,1.0,,,Capitol_2017_3_20,
201095,9.0,USD,1.0,,,Capitol_2017_3_20,
201096,12.0,USD,1.0,,,Capitol_2017_3_20,
201097,14.0,USD,1.0,,,Capitol_2017_3_20,
201098,18.0,USD,1.0,,,Capitol_2017_3_20,
201099,19.0,USD,1.0,,,Capitol_2017_3_20,
201100,19.0,USD,1.0,,,Capitol_2017_3_20,
201101,7.5,USD,1.0,,,Capitol_2017_3_20,
201102,10.0,USD,1.0,,,Capitol_2017_3_20,
201103,13.0,USD,1.0,,,Capitol_2017_3_20,
201104,16.0,USD,1.0,,,Capitol_2017_3_20,
201105,17.0,USD,1.0,,,Capitol_2017_3_20,
201106,17.0,USD,1.0,,,Capitol_2017_3_20,
201107,7.5,USD,1.0,,,Capitol_2017_3_20,
201108,10.0,USD,1.0,,,Capitol_2017_3_20,
201109,13.0,USD,1.0,,,Capitol_2017_3_20,
201110,16.0,USD,1.0,,,Capitol_2017_3_20,
201111,17.0,USD,1.0,,,Capitol_2017_3_20,
201112,17.0,USD,1.0,,,Capitol_2017_3_20,
