route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,trip_destination,trip_short_name,trip_route_name,pub_dir_id,rm_block_id
365-111,JUN19-MVS-BUS-Weekday-01,14947182-JUN19-MVS-BUS-Weekday-01,Northbound 365  Express / Minneapolis,0,1844,3650001,1.0,,,,,
265-111,JUN19-MVS-BUS-Weekday-01,14947504-JUN19-MVS-BUS-Weekday-01,Southbound 265  Express / St Paul,1,1029,2650002,1.0,,,,,
262-111,JUN19-MVS-BUS-Weekday-01,14947598-JUN19-MVS-BUS-Weekday-01,Southbound 262 Ltd Stop / DT ST Paul / Union Depot,1,1637,2620002,1.0,,,,,
375-111,JUN19-MVS-BUS-Weekday-01,14947734-JUN19-MVS-BUS-Weekday-01,Westbound 375  Express / Minneapolis,1,1793,3750001,1.0,,,,,
275-111,JUN19-MVS-BUS-Weekday-01,14947755-JUN19-MVS-BUS-Weekday-01,Southbound 275 Express / St Paul,1,1814,2750004,1.0,,,,,
75-111,JUN19-MVS-BUS-Weekday-01,14947864-JUN19-MVS-BUS-Weekday-01,Northbound 75  Downtown,0,1657,750001,1.0,,,,,
75-111,JUN19-MVS-BUS-Weekday-01,14947867-JUN19-MVS-BUS-Weekday-01,Southbound 75F  Stryker Av/Salem Green/Lake Cove,1,1657,750004,1.0,,,,,
75-111,JUN19-MVS-BUS-Weekday-01,14947879-JUN19-MVS-BUS-Weekday-01,Northbound 75  Downtown,0,1656,750001,1.0,,,,,
75-111,JUN19-MVS-BUS-Weekday-01,14947880-JUN19-MVS-BUS-Weekday-01,Southbound 75E Stryker Av / Salem Green,1,1656,750008,1.0,,,,,
62-111,JUN19-MVS-BUS-Weekday-01,14947999-JUN19-MVS-BUS-Weekday-01,Northbound 62A Rice /To Larpenteur / Albemarle,0,1550,620044,1.0,,,,,
62-111,JUN19-MVS-BUS-Weekday-01,14948000-JUN19-MVS-BUS-Weekday-01,Northbound 62A Rice /To Larpenteur / Albemarle,0,1552,620044,1.0,,,,,
62-111,JUN19-MVS-BUS-Weekday-01,14948027-JUN19-MVS-BUS-Weekday-01,Southbound 62 Downtown,1,1551,620042,1.0,,,,,
62-111,JUN19-MVS-BUS-Weekday-01,14948032-JUN19-MVS-BUS-Weekday-01,Southbound 62 Downtown,1,1550,620042,1.0,,,,,
53-111,JUN19-MVS-BUS-Weekday-01,14948211-JUN19-MVS-BUS-Weekday-01,Eastbound 53 Ltd Stop/Dtwn St.Paul/Lafayette,0,1483,530001,1.0,,,,,
53-111,JUN19-MVS-BUS-Weekday-01,14948218-JUN19-MVS-BUS-Weekday-01,Westbound 53  Ltd Stop / Uptown / Lake St,1,1400,530002,1.0,,,,,
364-111,JUN19-MVS-BUS-Weekday-01,14978409-JUN19-MVS-BUS-Weekday-01,Northbound 364 St Paul Park/ Newport/ St Paul,0,31281,3640001,1.0,,,,,
351-111,JUN19-MVS-BUS-Weekday-01,14981028-JUN19-MVS-BUS-Weekday-01,Westbound 351 Express / St Paul,1,1771,3510001,1.0,,,,,
351-111,JUN19-MVS-BUS-Weekday-01,14981029-JUN19-MVS-BUS-Weekday-01,Eastbound 351H Express/Woodbury/Hudson Rd,0,1552,3510003,1.0,,,,,
361-111,JUN19-MVS-BUS-Weekday-01,14986383-JUN19-MVS-BUS-Weekday-01,Northbound 361  Express/ St Paul,0,1845,3610002,1.0,,,,,
361-111,JUN19-MVS-BUS-Weekday-01,14986385-JUN19-MVS-BUS-Weekday-01,Southbound 361  Express / Cottage  Grv P&R,1,1854,3610003,1.0,,,,,
902-111,JUN19-RAIL-Weekday-01,14969841-JUN19-RAIL-Weekday-01,Westbound to Mpls-Target Field,1,60,9020011,1.0,,,,,
902-111,JUN19-RAIL-Weekday-01,14969859-JUN19-RAIL-Weekday-01,Westbound to Mpls-Target Field,1,56,9020011,1.0,,,,,
902-111,JUN19-RAIL-Weekday-01,14969944-JUN19-RAIL-Weekday-01,Eastbound to St. Paul-Union Depot,0,52,9020001,1.0,,,,,
902-111,JUN19-RAIL-Weekday-01,14969962-JUN19-RAIL-Weekday-01,Eastbound to St. Paul-Union Depot,0,53,9020001,1.0,,,,,
484-71,20190216-Weekday-04,121-RL-484.0N-0632-20190216-Weekday-04,484 ST PAUL,1,121,4840095,,ST PAUL,484.0,484.0,Northbound,121-RL
480-71,20190216-Weekday-04,031-CT-480.1N-0601-20190216-Weekday-04,480 ST PAUL,1,31,4800212,,ST PAUL,480.0,480.0,Northbound,031-CT
489-71,20190216-Weekday-04,048-RD-489.1S-0639-20190216-Weekday-04,489 ECOLAB/OPPERMAN,0,48,4890070,,ECOLAB/OPPERMAN,489.0,489.0,Southbound,048-RD
