stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,wheelchair_boarding,model_node_id,osm_node_id,node_ssid,parent_station
10189,,St Clair Ave & Duke St,Near side E,44.934082,-93.120927,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10189,0,1.0,70537,187922596,e1d3d9fb42b1699c91db1db376354420,
10190,,St Clair Ave & Colborne St,Near side E,44.934081,-93.119721,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10190,0,1.0,44062,187862796,0b23d0ff5c8268e611df46a1cc118c47,
10191,,St Clair Ave & 7th St W,Near side E,44.93408,-93.117497,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10191,0,1.0,68940,187918029,89bfcd4ff66256d460430e35ee343869,
10193,,St Clair Ave & Colborne St,Near side W,44.934183,-93.119683,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10193,0,1.0,44064,187862803,1cf7cd46362a583d65e6f4a75df06c72,
10194,,St Clair Ave & Duke St,Near side W,44.934187,-93.120954,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10194,0,1.0,70541,187922605,a8d5bd96c352605ac94017c83822f64f,
10196,,St Clair Ave & Oneida St,Near side W,44.934182,-93.123074,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10196,0,1.0,55799,187887085,51b26139d917f0b3db3bc10314c478cb,
10197,,St Clair Ave & Osceola Ave,Near side W,44.934179,-93.125566,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10197,0,1.0,37734,187851038,e51c48c067739bf73b704c789b2cf17c,
10231,,7th St W & Ann St,Near side N,44.936092,-93.114259,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10231,0,1.0,68932,187917979,eb19bf2a14cb331c38d9de80dbf3a3df,
10232,,7th St W & Dousman St,Near side N,44.9372,-93.112662,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10232,0,1.0,52543,187879009,a98a3c63c2cbdd3fe4b7bb468b241998,
10234,,7th St W & Smith Ave,Near side N,44.939335,-93.109518,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10234,0,1.0,57601,187890778,9ec51322e21a696313930cd7153d64e4,
